length, selection, insertion, merge
10, 45, 15, 22
25, 300, 37, 65
40, 780, 61, 126
55, 1485, 75, 179
70, 2415, 99, 240
85, 3570, 127, 310
100, 4950, 159, 384
115, 6555, 175, 443
130, 8385, 209, 498
145, 10440, 227, 591
160, 12720, 259, 659
175, 15225, 269, 735
190, 17955, 319, 813
205, 20910, 321, 883
220, 24090, 339, 946
235, 27495, 361, 1018
250, 31125, 389, 1079
265, 34980, 411, 1154
280, 39060, 443, 1261
295, 43365, 459, 1342
310, 47895, 481, 1428
325, 52650, 501, 1523
340, 57630, 523, 1598
355, 62835, 551, 1683
370, 68265, 575, 1738
385, 73920, 621, 1824
400, 79800, 611, 1905
415, 85905, 661, 1994
430, 92235, 657, 2072
445, 98790, 705, 2156
460, 105570, 723, 2223
475, 112575, 719, 2297
490, 119805, 753, 2369
505, 127260, 773, 2432
520, 134940, 829, 2527
535, 142845, 847, 2630
550, 150975, 831, 2719
565, 159330, 875, 2844
580, 167910, 905, 2930
595, 176715, 941, 3046
610, 185745, 983, 3122
625, 195000, 997, 3215
640, 204480, 1031, 3306
655, 214185, 1039, 3400
670, 224115, 1069, 3499
685, 234270, 1079, 3573
700, 244650, 1091, 3661
715, 255255, 1139, 3749
730, 266085, 1151, 3836
745, 277140, 1215, 3922
760, 288420, 1195, 3982
775, 299925, 1257, 4060
790, 311655, 1213, 4156
805, 323610, 1299, 4276
820, 335790, 1297, 4355
835, 348195, 1305, 4451
850, 360825, 1335, 4547
865, 373680, 1353, 4603
880, 386760, 1403, 4716
895, 400065, 1419, 4766
910, 413595, 1419, 4859
925, 427350, 1439, 4965
940, 441330, 1489, 5057
955, 455535, 1495, 5099
970, 469965, 1557, 5205
985, 484620, 1541, 5255
1000, 499500, 1585, 5328
1015, 514605, 1587, 5382
1030, 529935, 1617, 5469
1045, 545490, 1611, 5587
1060, 561270, 1675, 5738
1075, 577275, 1701, 5842
1090, 593505, 1701, 5948
1105, 609960, 1735, 6076
1120, 626640, 1787, 6189
1135, 643545, 1765, 6268
1150, 660675, 1813, 6353
1165, 678030, 1809, 6451
1180, 695610, 1853, 6582
1195, 713415, 1911, 6705
1210, 731445, 1901, 6782
1225, 749700, 1937, 6885
1240, 768180, 1983, 6994
